p = 0.67, q = 0.03, eq_value = 0.3953
p = 0.68, q = 0.03, eq_value = 0.4335
p = 0.69, q = 0.03, eq_value = 0.4664
p = 0.70, q = 0.03, eq_value = 0.5016
p = 0.71, q = 0.03, eq_value = 0.5313
p = 0.72, q = 0.03, eq_value = 0.5593
p = 0.73, q = 0.03, eq_value = 0.5868
p = 0.74, q = 0.03, eq_value = 0.6113
p = 0.75, q = 0.03, eq_value = 0.6369
p = 0.76, q = 0.03, eq_value = 0.6589
p = 0.77, q = 0.03, eq_value = 0.6804
p = 0.78, q = 0.03, eq_value = 0.7002
p = 0.79, q = 0.03, eq_value = 0.7191
p = 0.80, q = 0.03, eq_value = 0.7403
p = 0.81, q = 0.03, eq_value = 0.7552
p = 0.82, q = 0.03, eq_value = 0.7737
p = 0.83, q = 0.03, eq_value = 0.7897
p = 0.84, q = 0.03, eq_value = 0.8056
p = 0.85, q = 0.03, eq_value = 0.8210
p = 0.86, q = 0.03, eq_value = 0.8355
p = 0.87, q = 0.03, eq_value = 0.8503
p = 0.88, q = 0.03, eq_value = 0.8639
p = 0.89, q = 0.03, eq_value = 0.8771
p = 0.90, q = 0.03, eq_value = 0.8903
p = 0.91, q = 0.03, eq_value = 0.9033
p = 0.92, q = 0.03, eq_value = 0.9151
p = 0.93, q = 0.03, eq_value = 0.9269
p = 0.94, q = 0.03, eq_value = 0.9379
p = 0.95, q = 0.03, eq_value = 0.9493
p = 0.96, q = 0.03, eq_value = 0.9599
p = 0.97, q = 0.03, eq_value = 0.9705
p = 0.98, q = 0.03, eq_value = 0.9806
p = 0.99, q = 0.03, eq_value = 0.9906
p = 0.00, q = 0.04, eq_value = 0.0000
p = 0.01, q = 0.04, eq_value = 0.0000
p = 0.02, q = 0.04, eq_value = 0.0000
p = 0.03, q = 0.04, eq_value = 0.0000
p = 0.04, q = 0.04, eq_value = 0.0000
p = 0.05, q = 0.04, eq_value = 0.0000
p = 0.06, q = 0.04, eq_value = 0.0000
p = 0.07, q = 0.04, eq_value = 0.0000
p = 0.08, q = 0.04, eq_value = 0.0000
p = 0.09, q = 0.04, eq_value = 0.0000
p = 0.10, q = 0.04, eq_value = 0.0000
p = 0.11, q = 0.04, eq_value = 0.0000
p = 0.12, q = 0.04, eq_value = 0.0000
p = 0.13, q = 0.04, eq_value = 0.0000
p = 0.14, q = 0.04, eq_value = 0.0000
p = 0.15, q = 0.04, eq_value = 0.0000
p = 0.16, q = 0.04, eq_value = 0.0000
p = 0.17, q = 0.04, eq_value = 0.0000
p = 0.18, q = 0.04, eq_value = 0.0000
p = 0.19, q = 0.04, eq_value = 0.0000
p = 0.20, q = 0.04, eq_value = 0.0000
p = 0.21, q = 0.04, eq_value = 0.0000
p = 0.22, q = 0.04, eq_value = 0.0000
p = 0.23, q = 0.04, eq_value = 0.0000
p = 0.24, q = 0.04, eq_value = 0.0000
p = 0.25, q = 0.04, eq_value = 0.0000
p = 0.26, q = 0.04, eq_value = 0.0000
p = 0.27, q = 0.04, eq_value = 0.0000
p = 0.28, q = 0.04, eq_value = 0.0000
